"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"09/20/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$41.33"
"09/17/2024","Qualified Dividend","YUMC","YUM CHINA HLDGS INC F","","","","$15.84"
"09/06/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$46.20"
"08/30/2024","Buy","IEMG","ISHARES CORE MSCI EMERGING ETF","400","$54.3599","","-$21743.96"
"08/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$67.95"
"08/13/2024","Qualified Dividend","BYDDY","BYD CO LTD FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$91.40"
"08/12/2024","Qualified Dividend","RDY","DR REDDY S LABORATORIE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$41.43"
"08/06/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$80.95"
"07/31/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$8.69"
"07/11/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$82.61"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$5.53"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$3.58"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$111.28"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$72.06"
"06/21/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$47.03"
"06/18/2024","Qualified Div Adj","YUMC","YUM CHINA HOLDINGS INC","","","","-$15.84"
"06/18/2024","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$15.84"
"06/18/2024","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$15.84"
"06/17/2024","Non-Qualified Div","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$45.14"
"06/17/2024","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$374.48"
"06/11/2024","Non-Qualified Div","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$128.82"
"06/10/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$44.86"
"06/03/2024","Buy","MELI","MERCADOLIBRE INC","4","$1690.527","","-$6762.11"
"05/29/2024","Sell","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","104","$47.40","$7.11","$4922.49"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$3.11"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$118.18"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$4.81"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$76.53"
"05/28/2024","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$33.24"
"05/20/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$81.76"
"05/16/2024","Qualified Dividend","EBR","ELETROBRAS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$64.25"
